Intel 80386 Opcode*;;Custom Opcode;;;;HEX;Instruction;;Operand 1;;Operand Type;;Operand 2;;Operand Type;;Notes;;;;;;;;
0101;0001;0000;0010;0110;0010;0262;PUSH;;ECX;;;;N/A;;N/A;;;;;;;;;;
;;0000;0010;0110;0011;0263;PUSH;;CX;;;;N/A;;N/A;;;;;;;;;;
0101;0010;0000;0010;0110;0100;0264;PUSH;;EDX;;;;N/A;;N/A;;;;;;;;;;
;;0000;0010;0110;0101;0265;PUSH;;DX;;;;N/A;;N/A;;;;;;;;;;
0101;0011;0000;0010;0110;0110;0266;PUSH;;EBX;;;;N/A;;N/A;;;;;;;;;;
;;0000;0010;0110;0111;0267;PUSH;;BX;;;;N/A;;N/A;;;;;;;;;;
0101;0100;0000;0010;0110;1000;0268;PUSH;;ESP;;;;N/A;;N/A;;;;;;;;;;
;;0000;0010;0110;1001;0269;PUSH;;SP;;;;N/A;;N/A;;;;;;;;;;
0101;0101;0000;0010;0110;1010;026A;PUSH;;EBP;;;;N/A;;N/A;;;;;;;;;;
;;0000;0010;0110;1011;026B;PUSH;;BP;;;;N/A;;N/A;;;;;;;;;;
0101;0110;0000;0010;0110;1100;026C;PUSH;;ESI;;;;N/A;;N/A;;;;;;;;;;
;;0000;0010;0110;1101;026D;PUSH;;SI;;;;N/A;;N/A;;;;;;;;;;
0101;0111;0000;0010;0110;1110;026E;PUSH;;EDI;;;;N/A;;N/A;;;;;;;;;;
;;0000;0010;0110;1111;026F;PUSH;;DI;;;;N/A;;N/A;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
0110;1001;0000;0010;0111;0000;0270;PUSH;;Immediate;;byte;;N/A;;N/A;;;;;;;;;;
0110;1000;0000;0010;0111;0001;0271;PUSH;;Immediate;;word;;N/A;;N/A;;;;;;;;;;
;;0000;0010;0111;0010;0272;PUSH;;Immediate;;double word;;N/A;;N/A;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
0110;0000;0000;0010;1000;0000;0280;PUSHA;;N/A;;N/A;;N/A;;N/A;;Push all general registers to stack;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
1001;1100;0000;0010;1001;0000;0290;PUSHF;;;;;;N/A;;N/A;;Push flag register to stack;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
0000;0111;0000;0011;0000;0000;0300;POP;;ES;;;;N/A;;N/A;;;;;;;;;;
0001;0111;0000;0011;0001;0000;0310;POP;;SS;;;;N/A;;N/A;;;;;;;;;;
****;;;;;;;;;;;;;;;;;There is no POP CS instruction on 80386;;;;;;;;
0001;1111;0000;0011;0010;0000;0320;POP;;DS;;;;N/A;;N/A;;;;;;;;;;
HEX :  0FA1;;0000;0011;0011;0000;0330;POP;;FS;;;;N/A;;N/A;;;;;;;;;;
HEX : 0FA9;;0000;0011;0100;0000;0340;POP;;GS;;;;N/A;;N/A;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
0101;1000;0000;0011;0101;0000;0350;POP;;EAX;;;;N/A;;N/A;;Pop into general register;;;;;;;;
;;0000;0011;0101;0001;0351;POP;;AX;;;;N/A;;N/A;;;;;;;;;;
0101;1001;0000;0011;0101;0010;0352;POP;;ECX;;;;N/A;;N/A;;;;;;;;;;
;;0000;0011;0101;0011;0353;POP;;CX;;;;N/A;;N/A;;;;;;;;;;
0101;1010;0000;0011;0101;0100;0354;POP;;EDX;;;;N/A;;N/A;;;;;;;;;;
;;0000;0011;0101;0101;0355;POP;;DX;;;;N/A;;N/A;;;;;;;;;;
0101;1011;0000;0011;0101;0110;0356;POP;;EBX;;;;N/A;;N/A;;;;;;;;;;
;;0000;0011;0101;0111;0357;POP;;BX;;;;N/A;;N/A;;;;;;;;;;
0101;1100;0000;0011;0101;1000;0358;POP;;ESP;;;;N/A;;N/A;;;;;;;;;;
